Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
udp,1,0.001192716,838.4225582619837,,
udp,1,0.001204976,829.8920476424427,,
udp,1,0.001183273,845.1135114212865,,
udp,1,0.001210104,826.3752536972029,,
udp,1,0.001073285,931.7189749227838,,
udp,1,0.001146369,872.3194713046149,,
udp,1,0.001172706,852.7286463956013,,
udp,1,0.001157136,864.2026520650986,,
udp,1,0.001162513,860.2054342618104,,
udp,1,0.001150144,869.4563463357631,,
udp,1,0.001161588,860.8904361959661,,
udp,1,0.001171413,853.66988414846,,
udp,1,0.001141483,876.0533446402618,,
udp,1,0.001140232,877.0145023118102,,
udp,1,0.001133699,882.0683444194624,,
udp,1,0.001115299,896.6205474944387,,
udp,1,0.001181657,846.2692642619643,,
udp,1,0.001170875,854.0621330201772,,
udp,1,0.001082704,923.6134714566492,,
udp,1,0.00121694,821.7331996647329,,
udp,1,0.001186796,842.6047947583241,,
udp,1,0.001162379,860.30459944648,,
udp,1,0.001134832,881.187700029608,,
udp,1,0.001159593,862.3715389796248,,
udp,1,0.001134684,881.3026357999232,,
udp,1,0.00116945,855.1028261148402,,
udp,1,0.001128215,886.3558807496798,,
udp,1,0.001113079,898.4088281245085,,
udp,1,0.001193594,837.8058200694708,,
udp,1,0.001168712,855.6427930918824,,
udp,1,0.001145579,872.9210294532284,,
udp,1,0.001124962,888.9189145944486,,
udp,1,0.001132141,883.2822060149753,,
udp,1,0.00113757,879.066782703482,,
udp,1,0.001144613,873.657734098774,,
udp,1,0.001172628,852.7853675675491,,
udp,1,0.001199657,833.571595881156,,
udp,1,0.001161233,861.1536186105631,,
udp,1,0.001167133,856.8003817902501,,
udp,1,0.001206525,828.8265887569673,,
udp,1,0.001149308,870.088783859505,,
udp,1,0.00112975,885.1515822084533,,
udp,1,0.00112871,885.9671660568259,,
udp,1,0.001127181,887.1689639906988,,
udp,1,0.001191532,839.2556809217042,,
udp,1,0.001157656,863.8144664736329,,
udp,1,0.001145799,872.7534235934924,,
udp,1,0.001109033,901.6864241190299,,
udp,1,0.001177227,849.4538436512244,,
udp,1,0.001110183,900.752398478449,,
udp,1,0.001091076,916.526438121634,,
udp,1,0.001117784,894.6272267271673,,
udp,1,0.001125363,888.6021665898026,,
udp,1,0.001101465,907.8817756351767,,
udp,1,0.001124246,889.4850415300566,,
udp,1,0.001160052,862.0303227786341,,
udp,1,0.001113263,898.2603392010693,,
udp,1,0.001166291,857.4189460434831,,
udp,1,0.001110604,900.4109475564647,,
udp,1,0.00109816,910.614118161288,,
udp,1,0.001109644,901.189931185137,,
udp,1,0.00111573,896.274188199654,,
udp,1,0.001131745,883.5912683510862,,
udp,1,0.001112718,898.7002996266799,,
udp,1,0.00114873,870.5265815291671,,
udp,1,0.001117246,895.0580266118653,,
udp,1,0.001181486,846.3917473419067,,
udp,1,0.0011517,868.2816705739341,,
udp,1,0.001183363,845.0492367937818,,
udp,1,0.001112587,898.8061158363346,,
udp,1,0.001134883,881.1481007293263,,
udp,1,0.001135516,880.6568995945455,,
udp,1,0.0011335,882.223202470225,,
udp,1,0.001196846,835.5293830618141,,
udp,1,0.001150056,869.5228754078063,,
udp,1,0.00115272,867.5133597057394,,
udp,1,0.001166498,857.2667934278498,,
udp,1,0.001152506,867.6744416081132,,
udp,1,0.001209782,826.5952047558982,,
udp,1,0.001145218,873.1961949602609,,
udp,1,0.001189397,840.7621677202818,,
udp,1,0.001155111,865.717666960145,,
udp,1,0.001193905,837.58758025136,,
udp,1,0.001177841,849.0110295022843,,
udp,1,0.00109788,910.8463584362589,,
udp,1,0.001087212,919.7838140123546,,
udp,1,0.001201729,832.1343664004115,,
udp,1,0.00121062,826.0230295220631,,
udp,1,0.00113373,882.0442256974766,,
udp,1,0.001189525,840.6716966856518,,
udp,1,0.001125312,888.6424387192174,,
udp,1,0.00109625,912.2006841505131,,
udp,1,0.001144638,873.6386525696335,,
udp,1,0.001140556,876.7653670665885,,
udp,1,0.001135031,881.033205260473,,
udp,1,0.001145006,873.3578688670626,,
udp,1,0.001164904,858.4398371024565,,
udp,1,0.001139605,877.4970274788195,,
udp,1,0.001221787,818.4732690722687,,
udp,1,0.001143989,874.1342792631748,,
udp,1,0.001162016,860.5733483876297,,
udp,1,0.001214774,823.1983891653921,,
udp,1,0.001177341,849.3715924273426,,
udp,1,0.001214416,823.4410613825904,,
udp,1,0.001195176,836.6968546891839,,
udp,1,0.001241563,805.436373345533,,
udp,1,0.00118778,841.9067504083248,,
udp,1,0.001200371,833.0757740731824,,
udp,1,0.001117283,895.0283858252565,,
udp,1,0.001171079,853.9133568273362,,
udp,1,0.001112617,898.7818809167935,,
udp,1,0.001145618,872.8913128110767,,
udp,1,0.001189807,840.4724463715544,,
udp,1,0.001144877,873.4562752155907,,
udp,1,0.001179348,847.9261422413063,,
udp,1,0.001184912,843.9445292139839,,
udp,1,0.001130932,884.2264610073814,,
udp,1,0.001132983,882.6257763796986,,
udp,1,0.001198283,834.5274029590672,,
udp,1,0.001215136,822.9531509230243,,
udp,1,0.00121,826.4462809917355,,
udp,1,0.001203066,831.2095928236688,,
udp,1,0.001087588,919.4658271330687,,
udp,1,0.001140519,876.7938105371327,,
udp,1,0.001082166,924.0726468952082,,
udp,1,0.001165121,858.2799554724359,,
udp,1,0.001173248,852.3347152520183,,
udp,1,0.001183592,844.8857376528398,,
udp,1,0.001179245,848.0002035200489,,
udp,1,0.001180628,847.0068472033528,,
udp,1,0.001177473,849.2763740654775,,
udp,1,0.001215346,822.8109526011523,,
udp,1,0.001139209,877.8020538812457,,
udp,1,0.001096999,911.5778592323238,,
udp,1,0.001221136,818.9096054821084,,
udp,1,0.001100427,908.7381534622469,,
udp,1,0.001230625,812.5952260030473,,
udp,1,0.001159007,862.8075585393358,,
udp,1,0.00119054,839.9549784131572,,
udp,1,0.001150153,869.449542799958,,
udp,1,0.001185577,843.4711537082788,,
udp,1,0.001189532,840.6667496124526,,
udp,1,0.001189269,840.8526582295511,,
udp,1,0.001107244,903.143299941115,,
udp,1,0.001238595,807.3664111351975,,
udp,1,0.001163706,859.3235748548173,,
udp,1,0.001175878,850.4283607653175,,
udp,1,0.00117544,850.7452528414891,,
udp,1,0.001189534,840.6653361736613,,
udp,1,0.001166036,857.6064546892205,,
udp,1,0.001191104,839.5572510880662,,
udp,1,0.00117424,851.6146613980106,,
udp,1,0.001308876,764.0143145721978,,
udp,1,0.001078545,927.1750367393108,,
udp,1,0.001163862,859.2083941223271,,
udp,1,0.001179866,847.5538747620493,,
udp,1,0.001183666,844.8329173939269,,
udp,1,0.001140256,876.996042993854,,
udp,1,0.001134405,881.5193868151146,,
udp,1,0.001155585,865.3625652807885,,
udp,1,0.001177953,848.9303053687202,,
udp,1,0.00118477,844.0456797521882,,
udp,1,0.001189195,840.9049819415654,,
udp,1,0.00111262,898.7794574967195,,
udp,1,0.001179904,847.5265784334996,,
udp,1,0.001149173,870.1909982221997,,
udp,1,0.00126648,789.5900448487146,,
udp,1,0.00113652,879.8789286594165,,
udp,1,0.00114205,875.6184054988836,,
udp,1,0.001161677,860.8244804709054,,
udp,1,0.001124783,889.0603787575025,,
udp,1,0.001190276,840.1412781573349,,
udp,1,0.001178769,848.3426354103306,,
udp,1,0.001112668,898.7406845528046,,
udp,1,0.001166589,857.1999221662471,,
udp,1,0.001449582,689.8540406820724,,
udp,1,0.001164746,858.55628609156,,
udp,1,0.001177006,849.6133409685252,,
udp,1,0.001125781,888.2722305670463,,
udp,1,0.001154979,865.8166079210098,,
udp,1,0.001181728,846.2184191285982,,
udp,1,0.001182694,845.5272454244293,,
